,score,num_comments,avg_comment_karma,median_comment_karma,std_comment_karma,karma_range,karma_iqr,pct_negative_karma,pct_positive_karma,pct_zero_karma,avg_comment_length,unique_commenters,comments_per_commenter,comment_activity_duration_hours,total_comment_karma,text_length,num_tags,hour_of_day,is_weekend,bias_prob,bias_label
score,1.0,0.466630421883996,0.47202818206476005,0.09106702448295212,0.5716177652829079,0.5825848396206262,0.25467264421321717,-0.021906328319586065,0.10415223807982081,-0.10370253436521296,0.19204476454572933,0.5289126043902664,0.09245081386556242,0.1609069613306489,0.5481373593293772,-0.007719461881122006,0.07816754453741344,-0.07748105600494853,-0.036722859679772776,0.050216254849301534,0.07411395760090247
num_comments,0.466630421883996,1.0,0.379951486631577,0.0020024004944631138,0.5731255943362829,0.7332535394876755,0.15545328161653865,0.0491665201322949,0.012894814649403893,-0.012997304600715973,0.3330252593713087,0.9477525741944823,0.6396493077635226,0.44214432453965324,0.8800727110426404,-0.013997286274700368,0.06535106573167393,-0.09106368549031388,-0.048106131542101506,0.030986457731687494,0.06322429622093699
avg_comment_karma,0.47202818206476005,0.379951486631577,1.0,0.5631354223619125,0.898570832998406,0.780793270307759,0.7752125745280701,0.10072820467617627,0.5685957335004084,-0.5696469631567396,0.20083950969640849,0.44428769687053954,0.06174564263041198,0.12723964582730787,0.7457721594739947,-0.007351298990692711,0.0662477555104103,-0.025617725397546434,0.028485738462814762,0.11286004440764023,0.11721896749533314
median_comment_karma,0.09106702448295212,0.0020024004944631138,0.5631354223619125,1.0,0.29010436096491543,0.19419960803887745,0.6740718509258529,0.022749637167346508,0.8868061805233627,-0.8871704524923691,0.12199171198506589,0.022033828434395653,-0.038963077080194426,-0.034254108614488916,0.26500647067259336,0.021824866869131192,0.03757193003569752,0.0173602113121716,0.049045625808261537,0.07662841647582892,0.06576142967617679
std_comment_karma,0.5716177652829079,0.5731255943362829,0.898570832998406,0.29010436096491543,1.0,0.9562285475924941,0.5282547939042026,0.09655710937286875,0.29037068481564754,-0.29139195384273137,0.21548851972557367,0.6344464714051393,0.17173579914572198,0.21691208177669846,0.845367522149386,-0.0193219485452939,0.07167222738596184,-0.05864609444943704,-0.003193051707854728,0.08768030475897859,0.10490670216732943
karma_range,0.5825848396206262,0.7332535394876755,0.780793270307759,0.19419960803887745,0.9562285475924941,1.0,0.4101364417554967,0.09289486340949676,0.19903642005194894,-0.2000095190097,0.255801115545461,0.7691272380525115,0.3155279617121229,0.295515112692154,0.907615497987617,-0.02076611744704077,0.07354950842515733,-0.07746139898002082,-0.020159297091983046,0.06954983087445007,0.09299875111912397
karma_iqr,0.25467264421321717,0.15545328161653865,0.7752125745280701,0.6740718509258529,0.5282547939042026,0.4101364417554967,1.0,0.10052989978570302,0.6742393714143268,-0.6752844340814347,0.15563938042608078,0.19000208172835645,0.013170636463111134,0.042893632143744934,0.4762046181801055,0.01284972943132915,0.046449706133794906,0.02320882439066876,0.05963592225897829,0.09847823550457029,0.09148872891358376
pct_negative_karma,-0.021906328319586065,0.0491665201322949,0.10072820467617627,0.022749637167346508,0.09655710937286875,0.09289486340949676,0.10052989978570302,1.0,-0.008502927232427642,-0.002297856375410249,0.025845035569720433,0.035982941032597186,0.06310121050038746,0.03193495495825882,0.09884565664060112,-0.008962324610181966,-0.013443129973229493,-0.012827815239128406,-0.0038790068131709823,-0.005736065871118148,0.0038691019858197013
pct_positive_karma,0.10415223807982081,0.012894814649403893,0.5685957335004084,0.8868061805233627,0.29037068481564754,0.19903642005194894,0.6742393714143268,-0.008502927232427642,1.0,-0.9998851755405648,0.13139200716796634,0.03423347887907164,-0.0336552827223549,-0.03304171561556671,0.27120508280112465,0.03648124454791551,0.04910282883901859,0.0213896930170092,0.050852801728806324,0.07885750092105757,0.06467586330260221
pct_zero_karma,-0.10370253436521296,-0.012997304600715973,-0.5696469631567396,-0.8871704524923691,-0.29139195384273137,-0.2000095190097,-0.6752844340814347,-0.002297856375410249,-0.9998851755405648,1.0,-0.13149553958547747,-0.03413417332546592,0.03305893028362582,0.03305524745887266,-0.27215799398417506,-0.036225330064436664,-0.048898363577217156,-0.021285955053110806,-0.050841207523111734,-0.0787771460780936,-0.06468148646977095
avg_comment_length,0.19204476454572933,0.3330252593713087,0.20083950969640849,0.12199171198506589,0.21548851972557367,0.255801115545461,0.15563938042608078,0.025845035569720433,0.13139200716796634,-0.13149553958547747,1.0,0.23503958592266036,0.42011284170315216,0.2741954930491868,0.3277480376854231,0.08942946171854782,0.01387931065030355,-0.059272036821535166,0.014031790330388497,-0.033043503117077634,0.011553044146619952
unique_commenters,0.5289126043902664,0.9477525741944823,0.44428769687053954,0.022033828434395653,0.6344464714051393,0.7691272380525115,0.19000208172835645,0.035982941032597186,0.03423347887907164,-0.03413417332546592,0.23503958592266036,1.0,0.3964538208514877,0.3975186548715343,0.876556989948252,-0.022678384126026168,0.05387511066347645,-0.0896693794320308,-0.06427863625435762,0.03538213078800322,0.06443169347067036
comments_per_commenter,0.09245081386556242,0.6396493077635226,0.06174564263041198,-0.038963077080194426,0.17173579914572198,0.3155279617121229,0.013170636463111134,0.06310121050038746,-0.0336552827223549,0.03305893028362582,0.42011284170315216,0.3964538208514877,1.0,0.3466414151957983,0.4819460387451905,0.013724162487573514,0.059273576957850745,-0.050401471772023566,0.019973398419128312,0.008753309279005798,0.030382926725599214
comment_activity_duration_hours,0.1609069613306489,0.44214432453965324,0.12723964582730787,-0.034254108614488916,0.21691208177669846,0.295515112692154,0.042893632143744934,0.03193495495825882,-0.03304171561556671,0.03305524745887266,0.2741954930491868,0.3975186548715343,0.3466414151957983,1.0,0.36968491642734935,0.013959233947244498,0.02923433861451388,0.013389147739177832,0.020545479310840935,-0.016445333848644696,0.007484413650879146
total_comment_karma,0.5481373593293772,0.8800727110426404,0.7457721594739947,0.26500647067259336,0.845367522149386,0.907615497987617,0.4762046181801055,0.09884565664060112,0.27120508280112465,-0.27215799398417506,0.3277480376854231,0.876556989948252,0.4819460387451905,0.36968491642734935,1.0,-0.01822942644690359,0.07421015239866567,-0.08010359149420775,-0.01882031162837994,0.07561498076905024,0.09918911273843513
text_length,-0.007719461881122006,-0.013997286274700368,-0.007351298990692711,0.021824866869131192,-0.0193219485452939,-0.02076611744704077,0.01284972943132915,-0.008962324610181966,0.03648124454791551,-0.036225330064436664,0.08942946171854782,-0.022678384126026168,0.013724162487573514,0.013959233947244498,-0.01822942644690359,1.0,0.1435606056356498,-0.00037230317979172105,0.007166782946774274,0.2047744527062388,0.23065235691755265
num_tags,0.07816754453741344,0.06535106573167393,0.0662477555104103,0.03757193003569752,0.07167222738596184,0.07354950842515733,0.046449706133794906,-0.013443129973229493,0.04910282883901859,-0.048898363577217156,0.01387931065030355,0.05387511066347645,0.059273576957850745,0.02923433861451388,0.07421015239866567,0.1435606056356498,1.0,-0.006953450000204703,-0.015859136903412275,0.03377470153452125,0.050267393936596655
hour_of_day,-0.07748105600494853,-0.09106368549031388,-0.025617725397546434,0.0173602113121716,-0.05864609444943704,-0.07746139898002082,0.02320882439066876,-0.012827815239128406,0.0213896930170092,-0.021285955053110806,-0.059272036821535166,-0.0896693794320308,-0.050401471772023566,0.013389147739177832,-0.08010359149420775,-0.00037230317979172105,-0.006953450000204703,1.0,0.07756023408548407,-0.028315262963378933,-0.029192987836648313
is_weekend,-0.036722859679772776,-0.048106131542101506,0.028485738462814762,0.049045625808261537,-0.003193051707854728,-0.020159297091983046,0.05963592225897829,-0.0038790068131709823,0.050852801728806324,-0.050841207523111734,0.014031790330388497,-0.06427863625435762,0.019973398419128312,0.020545479310840935,-0.01882031162837994,0.007166782946774274,-0.015859136903412275,0.07756023408548407,1.0,0.03867735247444294,0.018528527716860484
bias_prob,0.050216254849301534,0.030986457731687494,0.11286004440764023,0.07662841647582892,0.08768030475897859,0.06954983087445007,0.09847823550457029,-0.005736065871118148,0.07885750092105757,-0.0787771460780936,-0.033043503117077634,0.03538213078800322,0.008753309279005798,-0.016445333848644696,0.07561498076905024,0.2047744527062388,0.03377470153452125,-0.028315262963378933,0.03867735247444294,1.0,0.7500166734583195
bias_label,0.07411395760090247,0.06322429622093699,0.11721896749533314,0.06576142967617679,0.10490670216732943,0.09299875111912397,0.09148872891358376,0.0038691019858197013,0.06467586330260221,-0.06468148646977095,0.011553044146619952,0.06443169347067036,0.030382926725599214,0.007484413650879146,0.09918911273843513,0.23065235691755265,0.050267393936596655,-0.029192987836648313,0.018528527716860484,0.7500166734583195,1.0
